,rank,lForm,lemma,pos,wType,frequency,pmw,K_acc,len_syll,len_mora,roma,syll,mora
1390,1935,ソウサ,操作,名詞,漢,4873,46.5814658,B,2,3,sousa,"['ソウ', 'サ']","['ソ', 'ウ', 'サ']"
1391,2427,ソウジ,掃除,名詞,漢,3777,36.1046986,B,2,3,souji,"['ソウ', 'ジ']","['ソ', 'ウ', 'ジ']"
1392,1365,ソウゾウ,想像,名詞,漢,6985,66.7702726,B,2,4,souzou,"['ソウ', 'ゾウ']","['ソ', 'ウ', 'ゾ', 'ウ']"
1393,2481,ソウゾウ,創造,名詞,漢,3684,35.2157028,B,2,4,souzou,"['ソウ', 'ゾウ']","['ソ', 'ウ', 'ゾ', 'ウ']"
1394,2471,ソウゾク,相続,名詞,漢,3691,35.2826165,B,3,4,souzoku,"['ソウ', 'ゾ', 'ク']","['ソ', 'ウ', 'ゾ', 'ク']"
1395,2686,ゾウダイ,増大,名詞,漢,3344,31.9656108,B,2,4,zoudai,"['ゾウ', 'ダイ']","['ゾ', 'ウ', 'ダ', 'イ']"
1396,498,ソウダン,相談,名詞,漢,18390,175.7917413,B,2,4,soudan,"['ソウ', 'ダン']","['ソ', 'ウ', 'ダ', 'ン']"
1397,1779,ソウチ,装置,名詞,漢,5320,50.8543808,B,2,3,souchi,"['ソウ', 'チ']","['ソ', 'ウ', 'チ']"
1398,1771,ソウトウ,相当,名詞,漢,5343,51.07424,B,2,4,soutou,"['ソウ', 'トウ']","['ソ', 'ウ', 'ト', 'ウ']"
1399,2247,ソウム,総務,名詞,漢,4135,39.5268543,B,2,3,soumu,"['ソウ', 'ム']","['ソ', 'ウ', 'ム']"
1400,1856,ソウリ,総理,名詞,漢,5097,48.7227028,A,2,3,souri,"['ソウ', 'リ']","['ソ', 'ウ', 'リ']"
1401,1255,ソクシン,促進,名詞,漢,7700,73.6050249,A,3,4,sokushin,"['ソ', 'ク', 'シン']","['ソ', 'ク', 'シ', 'ン']"
1403,2129,ソクテイ,測定,名詞,漢,4396,42.0217779,A,3,4,sokutei,"['ソ', 'ク', 'テイ']","['ソ', 'ク', 'テ', 'イ']"
1404,2195,ソクド,速度,名詞,漢,4245,40.5783546,A,3,3,sokudo,"['ソ', 'ク', 'ド']","['ソ', 'ク', 'ド']"
1405,2755,ソクメン,側面,名詞,漢,3246,31.0288196,A,3,4,sokumen,"['ソ', 'ク', 'メン']","['ソ', 'ク', 'メ', 'ン']"
1408,2044,ソザイ,素材,名詞,漢,4605,44.0196285,A,2,3,sozai,"['ソ', 'ザイ']","['ソ', 'ザ', 'イ']"
1409,590,ソシキ,組織,名詞,漢,15627,149.3799642,A,3,3,soshiki,"['ソ', 'シ', 'キ']","['ソ', 'シ', 'キ']"
1410,2477,ソショウ,訴訟,名詞,漢,3685,35.2252619,A,3,3,soshou,"['ソ', 'ショ', 'ウ']","['ソ', 'ショ', 'ウ']"
1413,869,ソチ,措置,名詞,漢,10955,104.7198763,A,2,2,sochi,"['ソ', 'チ']","['ソ', 'チ']"
1414,1548,ソツギョウ,卒業,名詞,漢,6119,58.4920971,B,4,4,sotsugyou,"['ソ', 'ツ', 'ギョ', 'ウ']","['ソ', 'ツ', 'ギョ', 'ウ']"
1426,2466,ソンガイ,損害,名詞,漢,3697,35.339971,B,2,4,songai,"['ソン', 'ガイ']","['ソ', 'ン', 'ガ', 'イ']"
1427,360,ソンザイ,存在,名詞,漢,24112,230.488878,A,2,4,sonzai,"['ソン', 'ザイ']","['ソ', 'ン', 'ザ', 'イ']"
1431,271,タ,他,名詞,漢,32034,306.2160218,A,1,1,ta,['タ'],['タ']
1434,660,タイ,体,名詞,漢,14066,134.4582182,A,1,2,tai,['タイ'],"['タ', 'イ']"
1435,1453,タイ,対,名詞,漢,6535,62.4686802,A,1,2,tai,['タイ'],"['タ', 'イ']"
1436,336,ダイ,代,名詞,漢,25457,243.3458596,B,1,2,dai,['ダイ'],"['ダ', 'イ']"
1437,761,ダイ,台,名詞,漢,12409,118.6187992,B,1,2,dai,['ダイ'],"['ダ', 'イ']"
1438,2632,タイイク,体育,名詞,漢,3444,32.9215202,A,3,4,taiiku,"['タイ', 'イ', 'ク']","['タ', 'イ', 'イ', 'ク']"
1439,503,タイオウ,対応,名詞,漢,18223,174.1953726,A,2,4,taiou,"['タイ', 'オウ']","['タ', 'イ', 'オ', 'ウ']"
1440,1326,タイカイ,大会,名詞,漢,7243,69.2365189,A,2,4,taikai,"['タイ', 'カイ']","['タ', 'イ', 'カ', 'イ']"
1441,318,ダイガク,大学,名詞,漢,27103,259.0801286,A,3,4,daigaku,"['ダイ', 'ガ', 'ク']","['ダ', 'イ', 'ガ', 'ク']"
1442,985,タイケン,体験,名詞,漢,9610,91.8628947,A,2,4,taiken,"['タイ', 'ケン']","['タ', 'イ', 'ケ', 'ン']"
1443,492,タイサク,対策,名詞,漢,18754,179.2712516,A,3,4,taisaku,"['タイ', 'サ', 'ク']","['タ', 'イ', 'サ', 'ク']"
1445,2647,タイジュウ,体重,名詞,漢,3422,32.7112202,A,3,4,taijuu,"['タイ', 'ジュ', 'ウ']","['タ', 'イ', 'ジュ', 'ウ']"
1446,2357,タイショ,対処,名詞,漢,3913,37.4047354,A,2,3,taisho,"['タイ', 'ショ']","['タ', 'イ', 'ショ']"
1447,358,タイショウ,対象,名詞,漢,24238,231.6933238,A,3,4,taishou,"['タイ', 'ショ', 'ウ']","['タ', 'イ', 'ショ', 'ウ']"
1450,1935,タイショク,退職,名詞,漢,4873,46.5814658,A,3,4,taishoku,"['タイ', 'ショ', 'ク']","['タ', 'イ', 'ショ', 'ク']"
1451,534,ダイジン,大臣,名詞,漢,17191,164.3303874,A,2,4,daijin,"['ダイ', 'ジン']","['ダ', 'イ', 'ジ', 'ン']"
1454,1011,タイセイ,体制,名詞,漢,9396,89.8172486,A,2,4,taisei,"['タイ', 'セイ']","['タ', 'イ', 'セ', 'イ']"
1456,1584,ダイタイ,大体,名詞,漢,5994,57.2972103,A,2,4,daitai,"['ダイ', 'タイ']","['ダ', 'イ', 'タ', 'イ']"
1458,1449,タイド,態度,名詞,漢,6551,62.6216257,A,2,3,taido,"['タイ', 'ド']","['タ', 'イ', 'ド']"
1459,1740,ダイトウリョウ,大統領,名詞,漢,5436,51.9632358,B,4,6,daitouryou,"['ダイ', 'トウ', 'リョ', 'ウ']","['ダ', 'イ', 'ト', 'ウ', 'リョ', 'ウ']"
1461,695,ダイヒョウ,代表,名詞,漢,13469,128.751439,A,3,4,daihyou,"['ダイ', 'ヒョ', 'ウ']","['ダ', 'イ', 'ヒョ', 'ウ']"
1465,2561,タイホ,逮捕,名詞,漢,3542,33.8583115,A,2,3,taiho,"['タイ', 'ホ']","['タ', 'イ', 'ホ']"
1467,1762,タイヨウ,太陽,名詞,漢,5377,51.3992492,A,2,4,taiyou,"['タイ', 'ヨウ']","['タ', 'イ', 'ヨ', 'ウ']"
1468,2413,ダイリ,代理,名詞,漢,3805,36.3723532,A,2,3,dairi,"['ダイ', 'リ']","['ダ', 'イ', 'リ']"
1469,2706,タイリツ,対立,名詞,漢,3311,31.6501607,A,3,4,tairitsu,"['タイ', 'リ', 'ツ']","['タ', 'イ', 'リ', 'ツ']"
1470,1763,タイリョウ,大量,名詞,漢,5371,51.3418946,A,3,4,tairyou,"['タイ', 'リョ', 'ウ']","['タ', 'イ', 'リョ', 'ウ']"
1482,2316,タショウ,多少,名詞,漢,3999,38.2268175,A,3,3,tashou,"['タ', 'ショ', 'ウ']","['タ', 'ショ', 'ウ']"
1484,1466,タスウ,多数,名詞,漢,6476,61.9046937,A,2,3,tasuu,"['タ', 'スウ']","['タ', 'ス', 'ウ']"
1499,1864,タッセイ,達成,名詞,漢,5077,48.531521,B,2,4,tassei,"['タッ', 'セイ']","['タ', 'ッ', 'セ', 'イ']"
1507,1410,タニン,他人,名詞,漢,6696,64.0076944,A,2,3,tanin,"['タ', 'ニン']","['タ', 'ニ', 'ン']"
1530,1967,ダン,段,名詞,漢,4804,45.9218883,B,1,2,dan,['ダン'],"['ダ', 'ン']"
1531,1582,タンイ,単位,名詞,漢,6004,57.3928012,B,2,3,tan'i,"['タン', 'イ']","['タ', 'ン', 'イ']"
1532,886,ダンカイ,段階,名詞,漢,10804,103.2764531,A,2,4,dankai,"['ダン', 'カイ']","['ダ', 'ン', 'カ', 'イ']"
1533,2273,ダンシ,男子,名詞,漢,4076,38.9628677,A,2,3,danshi,"['ダン', 'シ']","['ダ', 'ン', 'シ']"
1535,1691,ダンジョ,男女,名詞,漢,5588,53.4162181,A,2,3,danjo,"['ダン', 'ジョ']","['ダ', 'ン', 'ジョ']"
1536,1468,タンジョウ,誕生,名詞,漢,6469,61.83778,B,3,4,tanjou,"['タン', 'ジョ', 'ウ']","['タ', 'ン', 'ジョ', 'ウ']"
1537,708,ダンセイ,男性,名詞,漢,13236,126.5241701,A,2,4,dansei,"['ダン', 'セイ']","['ダ', 'ン', 'セ', 'イ']"
1538,652,ダンタイ,団体,名詞,漢,14316,136.8479918,A,2,4,dantai,"['ダン', 'タイ']","['ダ', 'ン', 'タ', 'イ']"
1539,960,タントウ,担当,名詞,漢,9868,94.329141,B,2,4,tantou,"['タン', 'トウ']","['タ', 'ン', 'ト', 'ウ']"
1542,2811,タンパク,蛋白,名詞,漢,3164,30.2449739,A,3,4,tanpaku,"['タン', 'パ', 'ク']","['タ', 'ン', 'パ', 'ク']"
1543,311,チ,地,名詞,漢,27625,264.0699757,B,1,1,chi,['チ'],['チ']
1545,2384,チイ,地位,名詞,漢,3859,36.8885443,B,2,2,chii,"['チ', 'イ']","['チ', 'イ']"
1546,211,チイキ,地域,名詞,漢,39652,379.037201,B,3,3,chiiki,"['チ', 'イ', 'キ']","['チ', 'イ', 'キ']"
1549,1701,チエ,知恵,名詞,漢,5567,53.2154771,A,2,2,chie,"['チ', 'エ']","['チ', 'エ']"
1551,1644,チカ,地下,名詞,漢,5758,55.0412641,B,2,2,chika,"['チ', 'カ']","['チ', 'カ']"
1558,1192,チキュウ,地球,名詞,漢,8101,77.4382217,B,3,3,chikyuu,"['チ', 'キュ', 'ウ']","['チ', 'キュ', 'ウ']"
1559,1038,チク,地区,名詞,漢,9154,87.5039478,B,2,2,chiku,"['チ', 'ク']","['チ', 'ク']"
1560,2320,チジ,知事,名詞,漢,3991,38.1503447,A,2,2,chiji,"['チ', 'ジ']","['チ', 'ジ']"
1561,1043,チシキ,知識,名詞,漢,9140,87.3701205,B,3,3,chishiki,"['チ', 'シ', 'キ']","['チ', 'シ', 'キ']"
1562,2477,チジョウ,地上,名詞,漢,3685,35.2252619,B,3,3,chijou,"['チ', 'ジョ', 'ウ']","['チ', 'ジョ', 'ウ']"
1563,2333,チズ,地図,名詞,漢,3950,37.7584219,B,2,2,chizu,"['チ', 'ズ']","['チ', 'ズ']"
1567,391,チホウ,地方,名詞,漢,22248,212.6707265,B,2,3,chihou,"['チ', 'ホウ']","['チ', 'ホ', 'ウ']"
1568,1422,チャ,茶,名詞,漢,6635,63.4245896,B,1,1,cha,['チャ'],['チャ']
1572,1154,チュウ,注,名詞,漢,8382,80.1243271,A,2,2,chuu,"['チュ', 'ウ']","['チュ', 'ウ']"
1573,663,チュウイ,注意,名詞,漢,13986,133.6934907,A,3,3,chuui,"['チュ', 'ウ', 'イ']","['チュ', 'ウ', 'イ']"
1574,789,チュウオウ,中央,名詞,漢,12016,114.8620752,A,3,4,chuuou,"['チュ', 'ウ', 'オウ']","['チュ', 'ウ', 'オ', 'ウ']"
1575,1529,チュウガク,中学,名詞,漢,6184,59.1134382,A,4,4,chuugaku,"['チュ', 'ウ', 'ガ', 'ク']","['チュ', 'ウ', 'ガ', 'ク']"
1576,2705,チュウカン,中間,名詞,漢,3313,31.6692789,A,3,4,chuukan,"['チュ', 'ウ', 'カン']","['チュ', 'ウ', 'カ', 'ン']"
1578,2013,チュウシャ,駐車,名詞,漢,4673,44.6696469,A,3,3,chuusha,"['チュ', 'ウ', 'シャ']","['チュ', 'ウ', 'シャ']"
1579,413,チュウシン,中心,名詞,漢,20910,199.8806585,A,3,4,chuushin,"['チュ', 'ウ', 'シン']","['チュ', 'ウ', 'シ', 'ン']"
1580,1399,チュウモク,注目,名詞,漢,6783,64.8393356,A,4,4,chuumoku,"['チュ', 'ウ', 'モ', 'ク']","['チュ', 'ウ', 'モ', 'ク']"
1581,2308,チュウモン,注文,名詞,漢,4019,38.4179994,B,3,4,chuumon,"['チュ', 'ウ', 'モン']","['チュ', 'ウ', 'モ', 'ン']"
1582,528,チョウ,町,名詞,漢,17401,166.3377972,B,2,2,chou,"['チョ', 'ウ']","['チョ', 'ウ']"
1583,1944,チョウ,兆,名詞,漢,4852,46.3807248,B,2,2,chou,"['チョ', 'ウ']","['チョ', 'ウ']"
1584,2202,チョウカン,長官,名詞,漢,4232,40.4540864,B,3,4,choukan,"['チョ', 'ウ', 'カン']","['チョ', 'ウ', 'カ', 'ン']"
1585,1603,チョウキ,長期,名詞,漢,5922,56.6089555,B,3,3,chouki,"['チョ', 'ウ', 'キ']","['チョ', 'ウ', 'キ']"
1586,292,チョウサ,調査,名詞,漢,29467,281.6778271,B,3,3,chousa,"['チョ', 'ウ', 'サ']","['チョ', 'ウ', 'サ']"
1587,2299,チョウシ,調子,名詞,漢,4029,38.5135903,A,3,3,choushi,"['チョ', 'ウ', 'シ']","['チョ', 'ウ', 'シ']"
1588,990,チョウセイ,調整,名詞,漢,9547,91.2606718,B,3,4,chousei,"['チョ', 'ウ', 'セイ']","['チョ', 'ウ', 'セ', 'イ']"
1590,2751,チョウセン,挑戦,名詞,漢,3252,31.0861742,B,3,4,chousen,"['チョ', 'ウ', 'セン']","['チョ', 'ウ', 'セ', 'ン']"
1593,2555,チョクゴ,直後,名詞,漢,3558,34.011257,A,3,3,chokugo,"['チョ', 'ク', 'ゴ']","['チョ', 'ク', 'ゴ']"
1595,1663,チョクセツ,直接,名詞,漢,5682,54.3147729,A,4,4,chokusetsu,"['チョ', 'ク', 'セ', 'ツ']","['チョ', 'ク', 'セ', 'ツ']"
1597,844,チリョウ,治療,名詞,漢,11234,107.3868636,B,3,3,chiryou,"['チ', 'リョ', 'ウ']","['チ', 'リョ', 'ウ']"
1598,2544,チンギン,賃金,名詞,漢,3574,34.1642025,B,2,4,chingin,"['チン', 'ギン']","['チ', 'ン', 'ギ', 'ン']"
1600,2088,ツイカ,追加,名詞,漢,4506,43.0732782,A,3,3,tsuika,"['ツ', 'イ', 'カ']","['ツ', 'イ', 'カ']"
1604,1221,ツウジョウ,通常,名詞,漢,7916,75.6697892,B,3,4,tsuujou,"['ツウ', 'ジョ', 'ウ']","['ツ', 'ウ', 'ジョ', 'ウ']"
1605,804,ツウシン,通信,名詞,漢,11820,112.9884928,B,2,4,tsuushin,"['ツウ', 'シン']","['ツ', 'ウ', 'シ', 'ン']"
1607,2317,ツウチ,通知,名詞,漢,3997,38.2076993,B,2,3,tsuuchi,"['ツウ', 'チ']","['ツ', 'ウ', 'チ']"
1624,2204,ツゴウ,都合,名詞,漢,4231,40.4445273,B,2,3,tsugou,"['ツ', 'ゴウ']","['ツ', 'ゴ', 'ウ']"
1653,1766,テイアン,提案,名詞,漢,5367,51.3036583,A,2,4,teian,"['テイ', 'アン']","['テ', 'イ', 'ア', 'ン']"
1655,2063,テイイン,定員,名詞,漢,4561,43.5990284,A,2,4,teiin,"['テイ', 'イン']","['テ', 'イ', 'イ', 'ン']"
1656,1358,テイカ,低下,名詞,漢,7026,67.1621954,A,2,3,teika,"['テイ', 'カ']","['テ', 'イ', 'カ']"
1657,2296,テイキ,定期,名詞,漢,4040,38.6187403,A,2,3,teiki,"['テイ', 'キ']","['テ', 'イ', 'キ']"
1658,2437,テイギ,定義,名詞,漢,3760,35.942194,A,2,3,teigi,"['テイ', 'ギ']","['テ', 'イ', 'ギ']"
1659,817,テイキョウ,提供,名詞,漢,11684,111.688456,A,3,4,teikyou,"['テイ', 'キョ', 'ウ']","['テ', 'イ', 'キョ', 'ウ']"
1660,2021,テイコウ,抵抗,名詞,漢,4655,44.4975832,A,2,4,teikou,"['テイ', 'コウ']","['テ', 'イ', 'コ', 'ウ']"
1661,2594,テイコク,帝国,名詞,漢,3492,33.3803567,A,3,4,teikoku,"['テイ', 'コ', 'ク']","['テ', 'イ', 'コ', 'ク']"
1662,2469,テイシ,停止,名詞,漢,3694,35.3112938,A,2,3,teishi,"['テイ', 'シ']","['テ', 'イ', 'シ']"
1663,1251,テイシュツ,提出,名詞,漢,7717,73.7675295,A,3,4,teishutsu,"['テイ', 'シュ', 'ツ']","['テ', 'イ', 'シュ', 'ツ']"
1664,411,テイド,程度,名詞,漢,20968,200.435086,A,2,3,teido,"['テイ', 'ド']","['テ', 'イ', 'ド']"
1670,1481,テキ,敵,名詞,漢,6420,61.3693844,A,2,2,teki,"['テ', 'キ']","['テ', 'キ']"
1674,2417,テキトウ,適当,名詞,漢,3796,36.2863214,A,3,4,tekitou,"['テ', 'キ', 'トウ']","['テ', 'キ', 'ト', 'ウ']"
1675,1200,テキヨウ,適用,名詞,漢,8072,77.1610079,A,3,4,tekiyou,"['テ', 'キ', 'ヨウ']","['テ', 'キ', 'ヨ', 'ウ']"
1681,2369,テツガク,哲学,名詞,漢,3892,37.2039944,A,4,4,tetsugaku,"['テ', 'ツ', 'ガ', 'ク']","['テ', 'ツ', 'ガ', 'ク']"
1683,2043,テッテイ,徹底,名詞,漢,4607,44.0387467,A,2,4,tettei,"['テッ', 'テイ']","['テ', 'ッ', 'テ', 'イ']"
1684,1785,テツドウ,鉄道,名詞,漢,5309,50.7492308,A,3,4,tetsudou,"['テ', 'ツ', 'ドウ']","['テ', 'ツ', 'ド', 'ウ']"
1690,190,テン,点,名詞,漢,42658,407.771838,A,1,2,ten,['テン'],"['テ', 'ン']"
1691,2325,テン,天,名詞,漢,3968,37.9304856,A,1,2,ten,['テン'],"['テ', 'ン']"
1692,1020,テンカイ,展開,名詞,漢,9312,89.0142847,A,2,4,tenkai,"['テン', 'カイ']","['テ', 'ン', 'カ', 'イ']"
1693,2058,テンカン,転換,名詞,漢,4574,43.7232966,A,2,4,tenkan,"['テン', 'カン']","['テ', 'ン', 'カ', 'ン']"
1694,2392,テンキ,天気,名詞,漢,3842,36.7260397,A,2,3,tenki,"['テン', 'キ']","['テ', 'ン', 'キ']"
1695,1157,デンキ,電気,名詞,漢,8377,80.0765316,A,2,3,denki,"['デン', 'キ']","['デ', 'ン', 'キ']"
1696,2111,テンジ,展示,名詞,漢,4436,42.4041416,A,2,3,tenji,"['テン', 'ジ']","['テ', 'ン', 'ジ']"
1697,1430,デンシ,電子,名詞,漢,6610,63.1856123,A,2,3,denshi,"['デン', 'シ']","['デ', 'ン', 'シ']"
1698,1978,デンシャ,電車,名詞,漢,4776,45.6542336,A,2,3,densha,"['デン', 'シャ']","['デ', 'ン', 'シャ']"
1699,1612,デントウ,伝統,名詞,漢,5892,56.3221827,A,2,4,dentou,"['デン', 'トウ']","['デ', 'ン', 'ト', 'ウ']"
1700,1111,テンノウ,天皇,名詞,漢,8583,82.045705,A,2,4,tennou,"['テン', 'ノウ']","['テ', 'ン', 'ノ', 'ウ']"
1701,290,デンワ,電話,名詞,漢,29494,281.9359227,A,2,3,denwa,"['デン', 'ワ']","['デ', 'ン', 'ワ']"
1704,772,ト,都,名詞,漢,12223,116.8408077,A,1,1,to,['ト'],['ト']
1705,164,ド,度,名詞,漢,54088,517.032284,A,1,1,do,['ド'],['ド']
1716,2292,トウイツ,統一,名詞,漢,4043,38.6474176,B,3,4,touitsu,"['トウ', 'イ', 'ツ']","['ト', 'ウ', 'イ', 'ツ']"
1718,767,トウガイ,当該,名詞,漢,12376,118.3033491,B,2,4,tougai,"['トウ', 'ガイ']","['ト', 'ウ', 'ガ', 'イ']"
1719,2378,トウキ,登記,名詞,漢,3871,37.0032534,B,2,3,touki,"['トウ', 'キ']","['ト', 'ウ', 'キ']"
1721,2281,ドウグ,道具,名詞,漢,4066,38.8672768,B,2,3,dougu,"['ドウ', 'グ']","['ド', 'ウ', 'グ']"
1722,1752,トウケイ,統計,名詞,漢,5405,51.6669038,B,2,4,toukei,"['トウ', 'ケイ']","['ト', 'ウ', 'ケ', 'イ']"
1723,2680,トウゴウ,統合,名詞,漢,3351,32.0325245,B,2,4,tougou,"['トウ', 'ゴウ']","['ト', 'ウ', 'ゴ', 'ウ']"
1724,2267,ドウコウ,動向,名詞,漢,4086,39.0584587,B,2,4,doukou,"['ドウ', 'コウ']","['ド', 'ウ', 'コ', 'ウ']"
1725,2197,ドウサン,動産,名詞,漢,4242,40.5496774,B,2,4,dousan,"['ドウ', 'サン']","['ド', 'ウ', 'サ', 'ン']"
1726,737,トウシ,投資,名詞,漢,12819,122.5380278,B,2,3,toushi,"['トウ', 'シ']","['ト', 'ウ', 'シ']"
1727,524,トウジ,当時,名詞,漢,17505,167.331943,B,2,3,touji,"['トウ', 'ジ']","['ト', 'ウ', 'ジ']"
1728,668,ドウジ,同時,名詞,漢,13913,132.9956768,B,2,3,douji,"['ドウ', 'ジ']","['ド', 'ウ', 'ジ']"
1729,2475,トウジツ,当日,名詞,漢,3687,35.2443801,B,3,4,toujitsu,"['トウ', 'ジ', 'ツ']","['ト', 'ウ', 'ジ', 'ツ']"
1730,2090,トウショ,当初,名詞,漢,4504,43.05416,B,2,3,tousho,"['トウ', 'ショ']","['ト', 'ウ', 'ショ']"
1731,1134,トウジョウ,登場,名詞,漢,8490,81.1567093,B,3,4,toujou,"['トウ', 'ジョ', 'ウ']","['ト', 'ウ', 'ジョ', 'ウ']"
1735,2275,トウチャク,到着,名詞,漢,4072,38.9246314,B,3,4,touchaku,"['トウ', 'チャ', 'ク']","['ト', 'ウ', 'チャ', 'ク']"
1736,1180,ドウニュウ,導入,名詞,漢,8160,78.0022082,B,3,4,dounyuu,"['ドウ', 'ニュ', 'ウ']","['ド', 'ウ', 'ニュ', 'ウ']"
1737,2753,トウヒョウ,投票,名詞,漢,3247,31.0383787,B,3,4,touhyou,"['トウ', 'ヒョ', 'ウ']","['ト', 'ウ', 'ヒョ', 'ウ']"
1738,993,ドウブツ,動物,名詞,漢,9483,90.6488898,B,3,4,doubutsu,"['ドウ', 'ブ', 'ツ']","['ド', 'ウ', 'ブ', 'ツ']"
1740,784,ドウロ,道路,名詞,漢,12058,115.2635572,B,2,3,douro,"['ドウ', 'ロ']","['ド', 'ウ', 'ロ']"
1741,902,トウロク,登録,名詞,漢,10609,101.4124298,B,3,4,touroku,"['トウ', 'ロ', 'ク']","['ト', 'ウ', 'ロ', 'ク']"
1749,2812,トクイ,得意,名詞,漢,3160,30.2067375,A,3,3,tokui,"['ト', 'ク', 'イ']","['ト', 'ク', 'イ']"
1751,2684,ドクシャ,読者,名詞,漢,3347,31.9942881,A,3,3,dokusha,"['ド', 'ク', 'シャ']","['ド', 'ク', 'シャ']"
1753,2757,トクセイ,特性,名詞,漢,3244,31.0097014,A,3,4,tokusei,"['ト', 'ク', 'セイ']","['ト', 'ク', 'セ', 'イ']"
1754,1070,トクチョウ,特徴,名詞,漢,8934,85.4009471,A,4,4,tokuchou,"['ト', 'ク', 'チョ', 'ウ']","['ト', 'ク', 'チョ', 'ウ']"
1755,857,トクテイ,特定,名詞,漢,11057,105.6949039,A,3,4,tokutei,"['ト', 'ク', 'テイ']","['ト', 'ク', 'テ', 'イ']"
1758,1475,ドクリツ,独立,名詞,漢,6448,61.637039,A,4,4,dokuritsu,"['ド', 'ク', 'リ', 'ツ']","['ド', 'ク', 'リ', 'ツ']"
1759,1992,トケイ,時計,名詞,漢,4747,45.3770199,A,2,3,tokei,"['ト', 'ケイ']","['ト', 'ケ', 'イ']"
1764,496,トシ,都市,名詞,漢,18556,177.3785509,A,2,2,toshi,"['ト', 'シ']","['ト', 'シ']"
1766,1411,トショ,図書,名詞,漢,6692,63.969458,A,2,2,tosho,"['ト', 'ショ']","['ト', 'ショ']"
1768,646,トチ,土地,名詞,漢,14446,138.090674,A,2,2,tochi,"['ト', 'チ']","['ト', 'チ']"
1769,1210,トチュウ,途中,名詞,漢,7967,76.157303,A,3,3,tochuu,"['ト', 'チュ', 'ウ']","['ト', 'チュ', 'ウ']"
1788,2586,ドヨウ,土曜,名詞,漢,3504,33.4950659,B,2,3,doyou,"['ド', 'ヨウ']","['ド', 'ヨ', 'ウ']"
1800,933,ドリョク,努力,名詞,漢,10214,97.6365876,A,3,3,doryoku,"['ド', 'リョ', 'ク']","['ド', 'リョ', 'ク']"
1812,1713,ナイカク,内閣,名詞,漢,5525,52.8139951,A,3,4,naikaku,"['ナイ', 'カ', 'ク']","['ナ', 'イ', 'カ', 'ク']"
1813,1601,ナイブ,内部,名詞,漢,5928,56.6663101,A,2,3,naibu,"['ナイ', 'ブ']","['ナ', 'イ', 'ブ']"
1814,324,ナイヨウ,内容,名詞,漢,26647,254.7211816,A,2,4,naiyou,"['ナイ', 'ヨウ']","['ナ', 'イ', 'ヨ', 'ウ']"
1837,1964,ナットク,納得,名詞,漢,4809,45.9696837,B,3,4,nattoku,"['ナッ', 'ト', 'ク']","['ナ', 'ッ', 'ト', 'ク']"
1861,28,ニ,二,名詞,漢,402327,3845.881669,B,1,1,ni,['ニ'],['ニ']
1864,1661,ニク,肉,名詞,漢,5687,54.3625684,B,2,2,niku,"['ニ', 'ク']","['ニ', 'ク']"
1867,66,ニジュウ,二十,名詞,漢,157169,1502.393267,A,3,3,nijuu,"['ニ', 'ジュ', 'ウ']","['ニ', 'ジュ', 'ウ']"
1868,193,ニセン,二千,名詞,漢,42567,406.9019604,B,2,3,nisen,"['ニ', 'セン']","['ニ', 'セ', 'ン']"
1870,1739,ニチジ,日時,名詞,漢,5443,52.0301494,B,3,3,nichiji,"['ニ', 'チ', 'ジ']","['ニ', 'チ', 'ジ']"
1871,1448,ニチジョウ,日常,名詞,漢,6553,62.6407439,B,4,4,nichijou,"['ニ', 'チ', 'ジョ', 'ウ']","['ニ', 'チ', 'ジョ', 'ウ']"
1872,2145,ニチヨウ,日曜,名詞,漢,4358,41.6585323,B,3,4,nichiyou,"['ニ', 'チ', 'ヨウ']","['ニ', 'チ', 'ヨ', 'ウ']"
1873,2548,ニッキ,日記,名詞,漢,3569,34.116407,B,2,3,nikki,"['ニッ', 'キ']","['ニ', 'ッ', 'キ']"
1876,239,ニヒャク,二百,名詞,漢,36086,344.9494712,B,3,3,nihyaku,"['ニ', 'ヒャ', 'ク']","['ニ', 'ヒャ', 'ク']"
1877,2015,ニュウイン,入院,名詞,漢,4668,44.6218515,B,3,4,nyuuin,"['ニュ', 'ウ', 'イン']","['ニュ', 'ウ', 'イ', 'ン']"
1878,2440,ニュウサツ,入札,名詞,漢,3744,35.7892485,B,4,4,nyuusatsu,"['ニュ', 'ウ', 'サ', 'ツ']","['ニュ', 'ウ', 'サ', 'ツ']"
1884,1056,ニンキ,人気,名詞,漢,9041,86.4237701,B,2,3,ninki,"['ニン', 'キ']","['ニ', 'ン', 'キ']"
1885,192,ニンゲン,人間,名詞,漢,42617,407.3799151,B,2,4,ningen,"['ニン', 'ゲン']","['ニ', 'ン', 'ゲ', 'ン']"
1886,1058,ニンシキ,認識,名詞,漢,9028,86.2995019,B,3,4,ninshiki,"['ニン', 'シ', 'キ']","['ニ', 'ン', 'シ', 'キ']"
1887,2032,ニンシン,妊娠,名詞,漢,4629,44.2490468,B,2,4,ninshin,"['ニン', 'シン']","['ニ', 'ン', 'シ', 'ン']"
1888,2797,ニンズウ,人数,名詞,漢,3178,30.3788012,B,2,4,ninzuu,"['ニン', 'ズウ']","['ニ', 'ン', 'ズ', 'ウ']"
